Country,Date,CAB
BULGARIA,2013Q1,-1.4611806
BULGARIA,2013Q2,4.4240734
BULGARIA,2013Q3,0.029955339
BULGARIA,2013Q4,1.4646955
BULGARIA,2014Q1,1.5039622
BULGARIA,2014Q2,1.291606
BULGARIA,2014Q3,1.3804619
BULGARIA,2014Q4,3.4231553
BULGARIA,2015Q1,2.3401421
BULGARIA,2015Q2,-0.99976044
BULGARIA,2015Q3,0.080719349
BULGARIA,2015Q4,-1.1959675
BULGARIA,2016Q1,2.6321221
BULGARIA,2016Q2,4.7533986
BULGARIA,2016Q3,2.182963
BULGARIA,2016Q4,2.0372262
BULGARIA,2017Q1,2.8179017
BULGARIA,2017Q2,2.3074387
BULGARIA,2017Q3,6.1881408
BULGARIA,2017Q4,0.31382167
BULGARIA,2018Q1,-2.6152394
BULGARIA,2018Q2,-1.4802051
BULGARIA,2018Q3,3.3213031
BULGARIA,2018Q4,1.5128678
BULGARIA,2019Q1,1.2519898
BULGARIA,2019Q2,0.22753442
BULGARIA,2019Q3,3.1045477
BULGARIA,2019Q4,1.7553186
BULGARIA,2020Q1,3.6707533
BULGARIA,2020Q2,2.5625006
BULGARIA,2020Q3,-4.0448549
BULGARIA,2020Q4,0.39574046
BULGARIA,2021Q1,0.3010525
BULGARIA,2021Q2,-1.4277907
BULGARIA,2021Q3,-1.7908528
BULGARIA,2021Q4,-1.3370221
BULGARIA,2022Q1,-4.3510255
BULGARIA,2022Q2,-0.90351774
BULGARIA,2022Q3,-3.6912325
BULGARIA,2022Q4,-1.6971298
BULGARIA,2023Q1,-0.19125925
BULGARIA,2023Q2,2.1242228
BULGARIA,2023Q3,-1.4325113
BULGARIA,2023Q4,2.7888137
BULGARIA,2024Q1,1.8565235
BULGARIA,2024Q2,-1.007977
BULGARIA,2024Q3,2.324075
CROATIA,1995Q1,
CROATIA,1995Q2,
CROATIA,1995Q3,
CROATIA,1995Q4,
CROATIA,1996Q1,
CROATIA,1996Q2,
CROATIA,1996Q3,
CROATIA,1996Q4,
CROATIA,1997Q1,
CROATIA,1997Q2,
CROATIA,1997Q3,
CROATIA,1997Q4,
CROATIA,1998Q1,
CROATIA,1998Q2,
CROATIA,1998Q3,
CROATIA,1998Q4,
CROATIA,1999Q1,
CROATIA,1999Q2,
CROATIA,1999Q3,
CROATIA,1999Q4,
CROATIA,2000Q1,0.44283387
CROATIA,2000Q2,0.25657752
CROATIA,2000Q3,-5.3720635
CROATIA,2000Q4,-4.609304
CROATIA,2001Q1,-3.1043393
CROATIA,2001Q2,-6.9381296
CROATIA,2001Q3,-0.93883676
CROATIA,2001Q4,-2.199806
CROATIA,2002Q1,-6.688543
CROATIA,2002Q2,-6.3036501
CROATIA,2002Q3,-8.2950204
CROATIA,2002Q4,-7.9776798
CROATIA,2003Q1,-6.4905573
CROATIA,2003Q2,-11.726005
CROATIA,2003Q3,-10.068648
CROATIA,2003Q4,-11.904175
CROATIA,2004Q1,-8.0364663
CROATIA,2004Q2,-5.8124549
CROATIA,2004Q3,-7.5600096
CROATIA,2004Q4,-7.3081544
CROATIA,2005Q1,-8.104476
CROATIA,2005Q2,-8.6076198
CROATIA,2005Q3,-7.9870567
CROATIA,2005Q4,-9.0759807
CROATIA,2006Q1,-10.768886
CROATIA,2006Q2,-9.2131791
CROATIA,2006Q3,-8.1523974
CROATIA,2006Q4,-7.897424
CROATIA,2007Q1,-9.508083
CROATIA,2007Q2,-8.934131
CROATIA,2007Q3,-7.1291114
CROATIA,2007Q4,-10.317557
CROATIA,2008Q1,-12.309594
CROATIA,2008Q2,-13.86153
CROATIA,2008Q3,-10.783475
CROATIA,2008Q4,-9.5752427
CROATIA,2009Q1,-7.2488176
CROATIA,2009Q2,-6.9523025
CROATIA,2009Q3,-8.3626133
CROATIA,2009Q4,-7.1866404
CROATIA,2010Q1,-2.395673
CROATIA,2010Q2,-0.10660049
CROATIA,2010Q3,-6.6505481
CROATIA,2010Q4,-3.3219534
CROATIA,2011Q1,-4.0077978
CROATIA,2011Q2,-2.1180463
CROATIA,2011Q3,-2.9461019
CROATIA,2011Q4,-2.6896302
CROATIA,2012Q1,-4.5306719
CROATIA,2012Q2,-3.0519044
CROATIA,2012Q3,-3.2861837
CROATIA,2012Q4,-1.4382663
CROATIA,2013Q1,-1.0656366
CROATIA,2013Q2,-2.36648
CROATIA,2013Q3,-2.5386686
CROATIA,2013Q4,-2.1374223
CROATIA,2014Q1,-1.4641667
CROATIA,2014Q2,-2.16876
CROATIA,2014Q3,-2.8261545
CROATIA,2014Q4,3.4749728
CROATIA,2015Q1,0.75434573
CROATIA,2015Q2,-0.026641025
CROATIA,2015Q3,4.7704238
CROATIA,2015Q4,-0.83248947
CROATIA,2016Q1,-0.012906147
CROATIA,2016Q2,1.5417012
CROATIA,2016Q3,0.46893911
CROATIA,2016Q4,1.2957458
CROATIA,2017Q1,2.696155
CROATIA,2017Q2,2.2129713
CROATIA,2017Q3,1.7448894
CROATIA,2017Q4,1.2392319
CROATIA,2018Q1,-1.5274362
CROATIA,2018Q2,2.3012926
CROATIA,2018Q3,0.23212453
CROATIA,2018Q4,-2.557475
CROATIA,2019Q1,-2.2296269
CROATIA,2019Q2,1.1372484
CROATIA,2019Q3,3.1207813
