cn,ccode,cn_2,date2,pct_ca,ca,pct_ca_sa_2,date3
142,NOR,Norway,1/1/1962,,,,1962q1
142,NOR,Norway,4/1/1962,,,,1962q2
142,NOR,Norway,7/1/1962,,,,1962q3
142,NOR,Norway,10/1/1962,,,,1962q4
142,NOR,Norway,1/1/1963,,,,1963q1
142,NOR,Norway,4/1/1963,,,,1963q2
142,NOR,Norway,7/1/1963,,,,1963q3
142,NOR,Norway,10/1/1963,,,,1963q4
142,NOR,Norway,1/1/1964,,,,1964q1
142,NOR,Norway,4/1/1964,,,,1964q2
142,NOR,Norway,7/1/1964,,,,1964q3
142,NOR,Norway,10/1/1964,,,,1964q4
142,NOR,Norway,1/1/1965,,,,1965q1
142,NOR,Norway,4/1/1965,,,,1965q2
142,NOR,Norway,7/1/1965,,,,1965q3
142,NOR,Norway,10/1/1965,,,,1965q4
142,NOR,Norway,1/1/1966,,,,1966q1
142,NOR,Norway,4/1/1966,,,,1966q2
142,NOR,Norway,7/1/1966,,,,1966q3
142,NOR,Norway,10/1/1966,,,,1966q4
142,NOR,Norway,1/1/1967,,,,1967q1
142,NOR,Norway,4/1/1967,,,,1967q2
142,NOR,Norway,7/1/1967,,,,1967q3
142,NOR,Norway,10/1/1967,,,,1967q4
142,NOR,Norway,1/1/1968,,,,1968q1
142,NOR,Norway,4/1/1968,,,,1968q2
142,NOR,Norway,7/1/1968,,,,1968q3
142,NOR,Norway,10/1/1968,,,,1968q4
142,NOR,Norway,1/1/1969,,,,1969q1
142,NOR,Norway,4/1/1969,,,,1969q2
142,NOR,Norway,7/1/1969,,,,1969q3
142,NOR,Norway,10/1/1969,,,,1969q4
142,NOR,Norway,1/1/1970,,,,1970q1
142,NOR,Norway,4/1/1970,,,,1970q2
142,NOR,Norway,7/1/1970,,,,1970q3
142,NOR,Norway,10/1/1970,,,,1970q4
142,NOR,Norway,1/1/1971,,,,1971q1
142,NOR,Norway,4/1/1971,,,,1971q2
142,NOR,Norway,7/1/1971,,,,1971q3
142,NOR,Norway,10/1/1971,,,,1971q4
142,NOR,Norway,1/1/1972,,,,1972q1
142,NOR,Norway,4/1/1972,,,,1972q2
142,NOR,Norway,7/1/1972,,,,1972q3
142,NOR,Norway,10/1/1972,,,,1972q4
142,NOR,Norway,1/1/1973,,,,1973q1
142,NOR,Norway,4/1/1973,,,,1973q2
142,NOR,Norway,7/1/1973,,,,1973q3
142,NOR,Norway,10/1/1973,,,,1973q4
142,NOR,Norway,1/1/1974,,,,1974q1
142,NOR,Norway,4/1/1974,,,,1974q2
142,NOR,Norway,7/1/1974,,,,1974q3
142,NOR,Norway,10/1/1974,,,,1974q4
142,NOR,Norway,1/1/1975,-8.417896926403049,,-8.417896926403049,1975q1
142,NOR,Norway,4/1/1975,-15.780246257782,,-15.780246257782,1975q2
142,NOR,Norway,7/1/1975,-3.33020947873592,,-3.33020947873592,1975q3
142,NOR,Norway,10/1/1975,-7.01064765453339,,-7.01064765453339,1975q4
142,NOR,Norway,1/1/1976,-11.0341660678387,,-11.0341660678387,1976q1
142,NOR,Norway,4/1/1976,-13.8499706983566,,-13.8499706983566,1976q2
142,NOR,Norway,7/1/1976,-8.734878897666929,,-8.734878897666929,1976q3
142,NOR,Norway,10/1/1976,-13.6711701750755,,-13.6711701750755,1976q4
142,NOR,Norway,1/1/1977,-14.234659075737,,-14.234659075737,1977q1
142,NOR,Norway,4/1/1977,-13.3278533816338,,-13.3278533816338,1977q2
142,NOR,Norway,7/1/1977,-16.7059391736984,,-16.7059391736984,1977q3
142,NOR,Norway,10/1/1977,-11.7890991270542,,-11.7890991270542,1977q4
142,NOR,Norway,1/1/1978,-8.10940489172935,,-8.10940489172935,1978q1
142,NOR,Norway,4/1/1978,-4.05564717948437,,-4.05564717948437,1978q2
142,NOR,Norway,7/1/1978,-2.42301169782877,,-2.42301169782877,1978q3
142,NOR,Norway,10/1/1978,-4.14814427495003,,-4.14814427495003,1978q4
142,NOR,Norway,1/1/1979,-1.60867273807526,,-1.60867273807526,1979q1
142,NOR,Norway,4/1/1979,-1.91655047237873,,-1.91655047237873,1979q2
142,NOR,Norway,7/1/1979,-2.20552161335945,,-2.20552161335945,1979q3
142,NOR,Norway,10/1/1979,-2.09234450012445,,-2.09234450012445,1979q4
142,NOR,Norway,1/1/1980,3.47449891269207,,3.47449891269207,1980q1
142,NOR,Norway,4/1/1980,1.89627557992935,,1.89627557992935,1980q2
142,NOR,Norway,7/1/1980,.129290181212127,,.129290181212127,1980q3
142,NOR,Norway,10/1/1980,1.51440296322107,,1.51440296322107,1980q4
142,NOR,Norway,1/1/1981,3.12826111912727,2.66666205760185,3.12826111912727,1981q1
142,NOR,Norway,4/1/1981,6.69039934873581,6.93297845433216,6.69039934873581,1981q2
142,NOR,Norway,7/1/1981,2.94008553028107,3.36146079919269,2.94008553028107,1981q3
142,NOR,Norway,10/1/1981,1.14890234544873,.698260604057533,1.14890234544873,1981q4
142,NOR,Norway,1/1/1982,2.90905144065619,1.78993865333826,2.90905144065619,1982q1
142,NOR,Norway,4/1/1982,.142466987017542,-.21576909589792,.142466987017542,1982q2
142,NOR,Norway,7/1/1982,.278097786940634,2.16580480866239,.278097786940634,1982q3
142,NOR,Norway,10/1/1982,.799285341054201,-.326852436308715,.799285341054201,1982q4
142,NOR,Norway,1/1/1983,.419555231928825,.548907804830554,.419555231928825,1983q1
142,NOR,Norway,4/1/1983,2.6308273896575,3.4211512488737,2.6308273896575,1983q2
142,NOR,Norway,7/1/1983,3.62846590578556,5.25096674714666,3.62846590578556,1983q3
142,NOR,Norway,10/1/1983,6.29100203514099,6.41808424901523,6.29100203514099,1983q4
142,NOR,Norway,1/1/1984,5.86493387818336,5.71629581512206,5.86493387818336,1984q1
142,NOR,Norway,4/1/1984,2.86202728748322,5.1833159104958,2.86202728748322,1984q2
142,NOR,Norway,7/1/1984,4.19860631227493,4.84662833957837,4.19860631227493,1984q3
142,NOR,Norway,10/1/1984,6.24087639153004,5.41324967800672,6.24087639153004,1984q4
142,NOR,Norway,1/1/1985,6.89532831311226,5.14485300566899,6.89532831311226,1985q1
142,NOR,Norway,4/1/1985,6.08213357627392,5.70971335183054,6.08213357627392,1985q2
142,NOR,Norway,7/1/1985,3.50040309131145,4.4288625917482,3.50040309131145,1985q3
